device_type,device_name,action_type,action_value,start_time,end_time
Camera,camera_Callisto,open,{},2023-12-16 00:03:11.508,2023-12-16 09:10:38.028
Camera,camera_Callisto,flats,"{'filter': ['I+z', ""z'""], 'n': [10, 10]}",2023-12-16 00:03:11.508,2023-12-16 00:08:20.020
Camera,camera_Callisto,object,"{'object': 'Sp0426+0336', 'filter': 'I+z', 'ra': 66.58308333333333, 'dec': 3.6100480555555556, 'exptime': 22, 'guiding': True, 'pointing': False}",2023-12-16 00:08:20.020,2023-12-16 04:33:20.020
Camera,camera_Callisto,object,"{'object': 'Sp0642-6707', 'filter': ""z'"", 'ra': 100.61784583333332, 'dec': -67.12215388888889, 'exptime': 10, 'guiding': True, 'pointing': False}",2023-12-16 04:35:20.020,2023-12-16 09:06:40.020
Camera,camera_Callisto,flats,"{'filter': ['I+z', ""z'""], 'n': [10, 10]}",2023-12-16 09:06:40.020,2023-12-16 09:10:38.028
Camera,camera_Callisto,close,{},2023-12-16 09:10:38.028,2023-12-16 09:11:38.028
Camera,camera_Callisto,calibration,"{'exptime': [0, 10, 15, 22, 30, 60, 120], 'n': [10, 10, 10, 10, 10, 10, 10]}",2023-12-16 09:10:38.028,2023-12-16 10:30:38.028
